RreffOffset	RreffValue	RreffAbs	RreffAbsOhm	RcorrOffset	RcorrValue	RcorrAbs	RcorrAbsOhm	Time	TimeStamp	Data	DeltaRAbsOhm	ef
-85	90758	90843	0,0176258336	185	87641	87456	0,01696867016	0	1498593198	27/6/17 19:53:18	-0,0006571634402	0,450780
68	90163	90095	0,01748070273	273	86826	86553	0,01679346538	3600	1498596798	27/6/17 20:53:18	-0,0006872373503	0,449756
-57	90247	90304	0,017521254	133	86983	86850	0,01685109087	7200	1498600398	27/6/17 21:53:18	-0,0006701631304	0,450337
-114	90030	90144	0,01749020997	183	86658	86475	0,01677833141	10800	1498603998	27/6/17 22:53:18	-0,000711878554	0,448920
-44	89885	89929	0,01744849454	119	86490	86371	0,01675815279	14400	1498607598	27/6/17 23:53:18	-0,0006903417539	0,449650
-82	89680	89762	0,01741609233	150	86350	86200	0,01672497448	18000	1498611198	28/6/17 00:53:18	-0,0006911178548	0,449624
-132	89615	89747	0,01741318195	152	86253	86101	0,01670576598	21600	1498614798	28/6/17 01:53:18	-0,0007074159738	0,449071
-47	89509	89556	0,01737612313	171	86191	86020	0,01669004994	25200	1498618398	28/6/17 02:53:18	-0,0006860731989	0,449795
-32	89412	89444	0,01735439231	126	86105	85979	0,0166820949	28800	1498621998	28/6/17 03:53:18	-0,0006722974079	0,450264
-65	89301	89366	0,01733925834	187	86037	85850	0,01665706565	32400	1498625598	28/6/17 04:53:18	-0,0006821926944	0,449927
-27	89261	89288	0,01732412437	91	85986	85895	0,01666579678	36000	1498629198	28/6/17 05:53:18	-0,0006583275916	0,450740
-12	89244	89256	0,01731791557	135	85950	85815	0,01665027476	39600	1498632798	28/6/17 06:53:18	-0,0006676408025	0,450423
3	89268	89265	0,01731966179	152	85886	85734	0,01663455872	43200	1498636398	28/6/17 07:53:18	-0,0006851030728	0,449828
-11	89171	89182	0,0173035577	264	85865	85601	0,01660875337	46800	1498639998	28/6/17 08:53:18	-0,0006948043341	0,449499
76	89079	89003	0,01726882718	171	85798	85627	0,01661379802	50400	1498643598	28/6/17 09:53:18	-0,0006550291628	0,450853
-35	89091	89126	0,01729269229	224	85785	85561	0,01660099236	54000	1498647198	28/6/17 10:53:18	-0,0006916999305	0,449604
-99	89088	89187	0,01730452783	205	85753	85548	0,01659847003	57600	1498650798	28/6/17 11:53:18	-0,0007060577972	0,449117
-63	88991	89054	0,01727872247	103	85681	85578	0,01660429079	61200	1498654398	28/6/17 12:53:18	-0,0006744316854	0,450192
-69	88997	89066	0,01728105077	97	85710	85613	0,01661108167	64800	1498657998	28/6/17 13:53:18	-0,0006699691052	0,450344
-49	89061	89110	0,01728958788	116	85731	85615	0,01661146972	68400	1498661598	28/6/17 14:53:18	-0,0006781181647	0,450066
