RreffAbs,RreffAbsOhm,RcorrAbs,RcorrAbsOhm,TimeStamp,Data,DataTime,DeltaRAbsOhm,ef
-178307,0.03459605596,178813,0.03469423273,1504099506,30/8/17,13:25:06,0.00009817676432,0.300579
-178994,0.03472935129,178706,0.03467347203,1504103106,30/8/17,14:25:06,-0.00005587926507,0.298510
-179192,0.03476776829,179686,0.03486361675,1504106706,30/8/17,15:25:06,0.00009584846161,0.300547
-179563,0.03483975164,178517,0.03463680126,1504110306,30/8/17,16:25:06,-0.0002029503863,0.296562
-182016,0.03531569552,182766,0.03546121444,1504113906,30/8/17,17:25:06,0.0001455189195,0.301220
-181270,0.03517095271,180587,0.03503843348,1504117506,30/8/17,18:25:06,-0.0001325192293,0.297492
-180064,0.03493695828,179001,0.03473070947,1504121106,30/8/17,19:25:06,-0.0002062488152,0.296519
-179501,0.03482772208,179545,0.03483625919,1504124706,30/8/17,20:25:06,0.000008537109941,0.299372
-178955,0.03472178431,179344,0.03479726012,1504128306,30/8/17,21:25:06,0.00007547581289,0.300272
-179176,0.03476466388,179340,0.03479648402,1504131906,30/8/17,22:25:06,0.00003182013705,0.299684
-179172,0.03476388778,179317,0.03479202144,1504135506,30/8/17,23:25:06,0.00002813365776,0.299635
-178904,0.03471188902,179085,0.03474700759,1504139106,31/8/17,00:25:06,0.00003511856589,0.299729
-178590,0.0346509651,179003,0.03473109752,1504142706,31/8/17,01:25:06,0.00008013241831,0.300335
-178445,0.03462283144,178789,0.03468957612,1504146306,31/8/17,02:25:06,0.00006674467772,0.300154
-178181,0.03457160878,178415,0.03461701069,1504149906,31/8/17,03:25:06,0.00004540190287,0.299867
-178025,0.03454134085,178312,0.03459702609,1504153506,31/8/17,04:25:06,0.00005568523984,0.300005
-177782,0.03449419272,178166,0.0345686984,1504157106,31/8/17,05:25:06,0.00007450568676,0.300259
-177609,0.03446062635,177996,0.03453571412,1504160706,31/8/17,06:25:06,0.00007508776244,0.300267
-177481,0.03443579112,177824,0.03450234178,1504164306,31/8/17,07:25:06,0.0000665506525,0.300152
-177288,0.03439834426,177540,0.03444723861,1504167906,31/8/17,08:25:06,0.00004889435694,0.299914
-176848,0.03431297316,177337,0.03440785149,1504171506,31/8/17,09:25:06,0.00009487833548,0.300534
-176754,0.03429473479,177013,0.03434498732,1504175106,31/8/17,10:25:06,0.00005025253352,0.299932
-176626,0.03426989956,176871,0.03431743574,1504178706,31/8/17,11:25:06,0.00004753618035,0.299896
-175575,0.03406597904,176041,0.0341563948,1504182306,31/8/17,12:25:06,0.00009041575529,0.300474
-174867,0.03392860918,175043,0.03396275762,1504185906,31/8/17,13:25:06,0.00003414843976,0.299715
-175520,0.03405530766,175806,0.03411079887,1504189506,31/8/17,14:25:06,0.00005549121462,0.300003
-176100,0.03416784229,176469,0.0342394376,1504193106,31/8/17,15:25:06,0.00007159530837,0.300220
-176631,0.03427086968,176762,0.03429628699,1504196706,31/8/17,16:25:06,0.0000254173046,0.299598
-176507,0.03424681055,177026,0.03434750965,1504200306,31/8/17,17:25:06,0.0001006990923,0.300613
-175667,0.03408382936,175874,0.03412399259,1504203906,31/8/17,18:25:06,0.00004016322177,0.299796
-175842,0.03411778378,176208,0.03418879701,1504207506,31/8/17,19:25:06,0.00007101323269,0.300212
-176076,0.03416318568,176409,0.03422779608,1504211106,31/8/17,20:25:06,0.00006461040024,0.300125
-175986,0.03414572341,176448,0.03423536307,1504214706,31/8/17,21:25:06,0.00008963965438,0.300463
-175805,0.03411060485,175942,0.0341371863,1504218306,31/8/17,22:25:06,0.00002658145595,0.299614
-175665,0.03408344131,175788,0.03410730642,1504221906,31/8/17,23:25:06,0.00002386510279,0.299577
